4151,MS-Secondary-DNS-Server
4152,MS-Primary-NBNS-Server
4153,MS-Secondary-NBNS-Server
4154,Proxy-Policy-Name
4155,Provider-Type
4156,Provider-Name
4157,Remote-Server-Address
4158,Generate-Class-Attribute
4159,MS-RAS-Client-Name
4160,MS-RAS-Client-Version
4161,Allowed-Certificate-OID
4162,Extension-State
4163,Generate-Session-Timeout
4164,MS-Session-Timeout
4165,MS-Quarantine-IPFilter
4166,MS-Quarantine-Session-Timeout
4167,MS-User-Security-Identity
4168,Remote-RADIUS-to-Windows-User-Mapping
4169,Passport-User-Mapping-UPN-Suffix
4170,Tunnel-Tag
4171,NP-PEAPUpfront-Enabled
5000,Cisco-AV-Pair
6000,Nortel-Port-QOS
6001,Nortel-Port-Priority
8097,Certificate-EKU
8098,EAP-Configuration
8099,MS-PEAP-Embedded-EAP-TypeId
8100,MS-PEAP-Fast-Roamed-Session
8101,IAS-EAP-TypeId
8102,EAP-TLV
8103,Reject-Reason-Code
8104,Proxy-EAP-Configuration
8105,Session
8106,Is-Replay
8107,Clear-Text-Password
11000,USR-Last-Number-Dialed-Out
11001,USR-Last-Number-Dialed-In-DNIS
11002,USR-Last-Callers-Number-ANI
11003,USR-Channel
11004,USR-Event-Id
11005,USR-Event-Date-Time
11006,USR-Call-Start-Date-Time
11007,USR-Call-End-Date-Time
11008,USR-Default-DTE-Data-Rate
11009,USR-Initial-Rx-Link-Data-Rate
11010,USR-Final-Rx-Link-Data-Rate
11011,USR-Initial-Tx-Link-Data-Rate
11012,USR-Final-Tx-Link-Data-Rate
11013,USR-Chassis-Temperature
11014,USR-Chassis-Temp-Threshold
11015,USR-Actual-Voltage
11016,USR-Expected-Voltage
11017,USR-Power-Supply-Number
11018,USR-Card-Type
11019,USR-Chassis-Slot
11020,USR-Sync-Async-Mode
11021,USR-Originate-Answer-Mode
11022,USR-Modulation-Type
11023,USR-Initial-Modulation-Type
11024,USR-Connect-Term-Reason
11025,USR-Failure-to-Connect-Reason
11026,USR-Equalization-Type
11027,USR-Fallback-Enabled
11028,USR-Connect-Time-Limit
11029,USR-Number-of-Rings-Limit
11030,USR-DTE-Data-Idle-Timout
11031,USR-Characters-Sent
11032,USR-Characters-Received
11033,USR-Blocks-Sent
11034,USR-Blocks-Received
11035,USR-Blocks-Resent
11036,USR-Retrains-Requested
11037,USR-Retrains-Granted
11038,USR-Line-Reversals
11039,USR-Number-Of-Characters-Lost
11040,USR-Number-of-Blers
11041,USR-Number-of-Link-Timeouts
11042,USR-Number-of-Fallbacks
11043,USR-Number-of-Upshifts
11044,USR-Number-of-Link-NAKs
11045,USR-DTR-False-Timeout
11046,USR-Fallback-Limit
