ID,Attribute,Data type,Represents
248,Ascend-Force56,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
249,Ascend-Billing-Number,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
250,Ascend-Call-By-Call,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
251,Ascend-Transit-Number,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
252,Ascend-Host-Info,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
253,Ascend-PPP-Address,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
254,Ascend-MPP-Idle-Percent,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
255,Ascend-Xmit-Rate,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
4096,Saved-Radius-Framed-IP-Address,,
4097,Saved-Radius-Callback-Number,,
4098,NP-Calling-Station-ID,,
4099,Saved-NP-Calling-Station-Id,,
4100,Saved-Radius-Framed-Route,,
4101,Ignore-User-Dialin-Properties,,
4102,Day-And-Time-Restrictions,,
4103,NP-Called-Station-ID,,
4104,NP-Allowed-Port-Types,,
4105,NP-Authentication-Type,,
4106,NP-Allowed-EAP-Type,,
4107,Shared-Secret,,
4108,Client-IP-Address,Text,The IP address of the RADIUS client.
4109,Client-Packet-Header,,
4110,Token-Groups,,
4111,NP-Allow-Dial-in,,
4112,Request-ID,,
4113,Manipulation-Target,,
4114,Manipulation-Rule,,
4115,Original-User-Name,,
4116,NAS-Manufacturer,Number,The manufacturer of the NAS.
4117,Client-UDP-Port,,
4118,MS-CHAP-Challenge,,
4119,MS-CHAP-Response,,
4120,MS-CHAP-Domain,,
4121,MS-CHAP-Error,Number,The error data that describes a Microsoft Challenge Handshake Authentication Protocol (MS-CHAP) transaction.
4122,MS-CHAP-CPW-1,,
4123,MS-CHAP-CPW-2,,
4124,MS-CHAP-LM-Enc-PW,,
4125,MS-CHAP-NT-Enc-PW,,
4126,MS-CHAP-MPPE-Keys,,
4127,Authentication-Type,Number,The authentication scheme that is used to verify the user.
4128,Client-Friendly-Name,Text,The friendly name for the RADIUS client.
4129,SAM-Account-Name,Text,The user account name in the Security Accounts Manager (SAM) database.
4130,Fully-Qualified-User-Name,Text,The user name in canonical format.
4131,Windows-Groups,,
4132,EAP-Friendly-Name,Text,The friendly name that is used with Extensible Authentication Protocol (EAP).
4133,Auth-Provider-Type,,
4134,MS-Acct-Auth-Type,,
4135,MS-Acct-EAP-Type,,
4136,Packet-Type,Number,The type of packet
4137,Auth-Provider-Name,,
4138,Acct-Provider-Type,,
4139,Acct-Provider-Name,,
4140,MS-MPPE-Send-Key,,
4141,MS-MPPE-Recv-Key,,
4142,Reason-Code,Number,The reason for rejecting a connection request:
4143,MS-Filter,,
4144,MS-CHAP2-Response,,
4145,MS-CHAP2-Success,,
4146,MS-CHAP2-CPW,,
4147,MS-RAS-Vendor,,
4148,MS-RAS-Version,,
4149,NP-Policy-Name,Text,The friendly name of a network policy.
4150,MS-Primary-DNS-Server,,
4151,MS-Secondary-DNS-Server,,
4152,MS-Primary-NBNS-Server,,
4153,MS-Secondary-NBNS-Server,,
4154,Proxy-Policy-Name,,
4155,Provider-Type,,
4156,Provider-Name,,
4157,Remote-Server-Address,,
4158,Generate-Class-Attribute,,
4159,MS-RAS-Client-Name,,
4160,MS-RAS-Client-Version,,
4161,Allowed-Certificate-OID,,
4162,Extension-State,,
4163,Generate-Session-Timeout,,
4164,MS-Session-Timeout,,
4165,MS-Quarantine-IPFilter,,
4166,MS-Quarantine-Session-Timeout,,
4167,MS-User-Security-Identity,,
4168,Remote-RADIUS-to-Windows-User-Mapping,,
4169,Passport-User-Mapping-UPN-Suffix,,
4170,Tunnel-Tag,,
4171,NP-PEAPUpfront-Enabled,,
5000,Cisco-AV-Pair,,
6000,Nortel-Port-QOS,,
